location,date,x,y
Achara,2009-01-15,20.7881744581314,-51.4103649029118
Achara,2009-02-13,64.7174188019594,38.6335785714528
Achara,2009-03-19,60.6406212033846,29.8961981187916
Achara,2009-04-17,64.0766153635242,38.9182198449259
Achara,2009-05-17,59.9619431564163,31.2053376066835
Achara,2009-06-12,59.952952778825,31.1904490202845
Achara,2009-07-11,60.5733415020885,40.263108792194
Achara,2009-07-18,60.0028014867587,40.3230170443802
Achara,2009-08-13,59.7112685507036,40.4058120455252
Achara,2009-09-10,61.5982530688949,39.9666280109734
Achara,2009-10-11,61.403342439372,40.6205735843687
Achara,2009-11-19,60.4688023417397,30.1363512391931
Achara,2009-12-10,63.1936414178753,39.2074221950217
Achara,2010-01-16,63.1509764767029,39.2245037870149
Achara,2010-02-11,63.0588884392558,38.9892462310332
Achara,2010-02-20,63.0634697657542,38.5839647053002
Achara,2010-02-21,62.883726892465,38.6846973977213
Achara,2010-03-13,62.9738852794212,38.16436718475
Achara,2010-03-19,62.6963722984189,38.4910297508245
Achara,2010-03-31,62.4092962028824,38.9082206106502
Achara,2010-04-07,62.2293939702762,38.7148653367219
Achara,2010-04-08,62.0246050137054,38.5947777783532
Achara,2010-04-10,61.822486991498,38.4691516097291
Achara,2010-04-16,61.6316114999793,38.2916119246783
Achara,2010-05-15,58.4673148742941,39.1896499190478
Achara,2010-05-20,58.1730173687431,39.3640151493158
Achara,2010-06-17,60.1271937458918,38.9491455881182
Achara,2010-06-30,60.3294419923755,38.7249163720982
Achara,2010-07-08,60.5331485073516,38.4182421420876
Achara,2010-07-16,60.7030913338944,38.0513551697241
Achara,2010-08-07,60.6605116196427,37.837594916546
Achara,2010-08-08,60.6896345055892,37.5520678601308
Achara,2010-08-12,60.5314844420181,37.3921600480248
Achara,2010-08-18,60.1624808434519,37.5746968241141
Achara,2010-09-09,59.7662770251617,37.7360109509692
Achara,2010-09-17,59.3890337532144,37.8748889664505
Achara,2010-10-13,59.3315946391048,37.5413235460239
Achara,2010-10-14,59.2569637215726,37.1919269032552
Achara,2010-10-15,59.1779023508411,36.8893780981198
Achara,2010-10-16,58.9853523705361,36.6748579366616
Achara,2010-10-22,58.6537094490515,36.4988216879289
Achara,2010-10-23,58.7741450305963,36.1534312051165
Achara,2010-10-27,58.7450608058991,35.7808383132363
Achara,2010-11-13,58.7170264291927,35.4051141028305
Achara,2010-11-19,58.8289221325763,35.0568824317111
Achara,2010-12-10,58.5935059640922,34.938160242325
Achara,2010-12-11,58.3733268518424,34.8348707007948
Achara,2011-01-21,58.3529038941421,34.3228815585283
Achara,2011-01-22,58.3090211688186,34.3085264561862
Achara,2011-02-11,58.3153426266704,33.9267523068696
Achara,2011-02-18,58.5413763095193,33.6310502821142
Achara,2011-03-18,57.9005873100643,34.1677588193134
Achara,2011-03-31,57.8652518235542,33.4622964235111
Achara,2011-04-16,56.971450519936,34.2232146218489
Achara,2011-04-22,56.8489019122592,33.6808366735254
Achara,2011-05-13,56.2688986065966,33.5370864966302
Achara,2011-05-27,56.0313938327066,32.7099206136333
Achara,2011-06-11,55.8886934518433,33.1041965572796
Achara,2011-06-17,54.447133037934,33.8880535041488
Achara,2011-07-09,54.5617238533015,33.814065380786
Achara,2011-07-14,54.4236311394906,33.7935021348199
Achara,2011-08-04,54.9502560627644,33.4731092608491
Achara,2011-08-11,55.609350482326,32.513531564591
Achara,2011-09-14,55.271056086383,32.5305249993397
Achara,2011-09-28,55.2312271145598,32.363855962755
Achara,2011-10-08,54.7506015557721,32.0299294904305
Achara,2011-10-13,54.9274960676818,31.5313774922502
Achara,2011-11-11,55.8879541075718,30.4757763498811
Achara,2011-11-26,56.4271117587414,30.9712285603644
Achara,2011-12-10,56.880905220124,30.0783511251725
Achara,2011-12-15,56.2625274165596,30.0493748640287
Achara,2012-01-20,55.7881909614094,29.662205384497
Achara,2012-01-21,55.8267584982986,29.4589667474021
Achara,2012-02-10,55.7027029750961,29.3643549164301
Achara,2012-02-17,55.5937908164255,29.2468082426845
Achara,2012-03-15,55.2043244730125,29.6644701433066
Achara,2012-03-17,55.6131264619429,29.1072456282162
Achara,2012-04-21,54.1903831587235,29.7098892495583
Achara,2012-04-29,54.1705653922451,29.1099605651963
Achara,2012-05-19,54.5991803929099,28.8819856398509
Achara,2012-05-27,54.0735732517533,28.9031980729867
Achara,2012-06-16,52.8239939095998,29.3044399730955
Achara,2012-06-28,53.0496614954984,29.1392944696953
Achara,2012-07-08,53.1173685903006,28.9271630177421
Achara,2012-07-21,53.5491432083571,28.5080195294116
Achara,2012-08-16,52.7237971887497,28.4615161001565
Achara,2012-08-26,52.9445090729074,28.4600115157263
Achara,2012-09-21,53.7695657998137,28.2441644658687
Achara,2012-09-27,53.9005719323045,28.1298997969142
Achara,2012-10-18,54.416011874529,27.8546873730948
Achara,2012-10-21,54.4420438257976,27.3934797757811
Achara,2012-11-16,54.6585359263977,26.5770163472458
Achara,2012-11-22,54.1036422870041,26.4528649280133
Achara,2012-12-07,54.2569340888116,26.1799475616461
Achara,2012-12-10,52.9853212177159,24.752416210058
Achara,2013-01-17,53.7918122760024,25.1887751293624
Achara,2013-02-15,54.9003506351065,26.0853096221396
Achara,2013-03-14,54.7524685946836,25.5990176529726
Achara,2013-04-12,54.2084879332054,25.8848368655545
Achara,2013-05-16,53.5047792940977,25.8848410687217
Achara,2013-06-14,53.1634960931759,26.2925149330776
Achara,2013-07-18,52.7032443028272,26.2588709967614
Achara,2013-08-16,52.7252277043022,26.7022742602566
Achara,2013-09-21,52.9751311763452,26.4651143394196
Achara,2013-10-18,54.4107567698258,24.792182583598
Achara,2013-11-15,54.6303142272582,25.3475892808585
Achara,2013-12-13,54.7741766063178,25.076973669412
Achara,2014-01-16,54.9588239271482,25.0770826295136
Achara,2014-02-15,56.3191363863525,26.8071939677971
Achara,2014-03-19,57.3507586156811,27.9030827298329
Achara,2014-04-18,60.2989527460287,33.0525121798347
Achara,2014-05-16,65.6204015381446,34.586241024927
Achara,2014-06-20,67.3063707356919,35.2261055553042
Achara,2014-07-18,66.1310770443288,34.0347037832958
Achara,2014-08-16,63.0819143615741,31.8664130197977
Achara,2014-09-19,62.1039008664434,31.2190179302976
Achara,2014-10-17,60.8487124469433,28.5611482340996
Achara,2014-11-21,57.7458659137944,25.4333395847687
Achara,2014-12-12,57.5046146062676,25.2416790836633
Achara,2015-01-17,57.7422188074194,25.3721310589106
Achara,2015-02-21,62.2567741851507,29.0072180785775
Achara,2015-03-13,62.3873399948908,29.2064404890054
Achara,2015-04-18,62.4047646438517,29.2810025514951
Achara,2015-05-15,61.8809051047425,29.628838846542
Achara,2015-06-20,62.9761924698247,29.6606137278068
Achara,2015-07-16,63.081225162566,29.8450880721093
Achara,2015-08-22,62.5358187093746,31.1490440768975
Achara,2015-09-18,62.6334241946168,31.34933674668
Achara,2015-10-16,60.7156689186584,32.7726313716652
Achara,2015-11-20,64.0282771577246,32.4752674396513
Achara,2015-12-09,63.9068870583464,32.7062557106172
Achara,2016-01-15,64.5224593397702,33.0670456186841
